Training started in: /home/kaize/Downloads/Master_Study_Master_Thesis/libfranka_ws/src/E2E_Teleoperation/E2E_Teleoperation/trained_RL/E2E_RL_HIGH_VARIANCE_FIGURE_8_20251221_180800
============================================================

>>> STAGE 1: ROBUST ESTIMATION (Supervised)
[Stage 1 Step 9050] Loss: 0.00104 | Reward: 4008.380 | Pred Err: 5.13e-02 | Track Err: 0.06867
[Stage 1 Step 9100] Loss: 0.00172 | Reward: 4008.380 | Pred Err: 4.51e-02 | Track Err: 0.06255
[Stage 1 Step 9150] Loss: 0.00116 | Reward: 4008.380 | Pred Err: 2.08e-02 | Track Err: 0.07121
[Stage 1 Step 9200] Loss: 0.00082 | Reward: 4008.380 | Pred Err: 5.56e-02 | Track Err: 0.08813
[Stage 1 Step 9250] Loss: 0.00103 | Reward: 4008.380 | Pred Err: 6.11e-02 | Track Err: 0.09598
[Stage 1 Step 9300] Loss: 0.00064 | Reward: 4008.380 | Pred Err: 3.87e-02 | Track Err: 0.07860
[Stage 1 Step 9350] Loss: 0.00080 | Reward: 4008.380 | Pred Err: 3.95e-02 | Track Err: 0.07845
[Stage 1 Step 9400] Loss: 0.00113 | Reward: 4008.380 | Pred Err: 2.40e-02 | Track Err: 0.09398
[Stage 1 Step 9450] Loss: 0.00084 | Reward: 4008.380 | Pred Err: 3.55e-02 | Track Err: 0.08953
[Stage 1 Step 9500] Loss: 0.00077 | Reward: 4008.380 | Pred Err: 5.16e-02 | Track Err: 0.07536
[Stage 1 Step 9550] Loss: 0.00126 | Reward: 4008.380 | Pred Err: 2.10e-02 | Track Err: 0.06199
[Stage 1 Step 9600] Loss: 0.00056 | Reward: 4008.380 | Pred Err: 2.25e-02 | Track Err: 0.06532
[Stage 1 Step 9650] Loss: 0.00078 | Reward: 4008.380 | Pred Err: 1.90e-02 | Track Err: 0.06787
[Stage 1 Step 9700] Loss: 0.00090 | Reward: 4008.380 | Pred Err: 2.41e-02 | Track Err: 0.06462
[Stage 1 Step 9750] Loss: 0.00083 | Reward: 4008.380 | Pred Err: 2.20e-02 | Track Err: 0.04315
[Stage 1 Step 9800] Loss: 0.00086 | Reward: 4008.380 | Pred Err: 3.02e-02 | Track Err: 0.03512
[Stage 1 Step 9850] Loss: 0.00112 | Reward: 4008.380 | Pred Err: 4.04e-02 | Track Err: 0.03448
[Stage 1 Step 9900] Loss: 0.00051 | Reward: 4008.380 | Pred Err: 3.32e-02 | Track Err: 0.03351
[Stage 1 Step 9950] Loss: 0.00131 | Reward: 4008.380 | Pred Err: 4.07e-02 | Track Err: 0.03079
[Stage 1 Step 10000] Loss: 0.00057 | Reward: 4008.380 | Pred Err: 2.52e-02 | Track Err: 0.02759
[Stage 1 Step 10050] Loss: 0.00076 | Reward: 4008.380 | Pred Err: 2.89e-02 | Track Err: 0.03814
[Stage 1 Step 10100] Loss: 0.00076 | Reward: 4008.380 | Pred Err: 2.39e-02 | Track Err: 0.05071
[Stage 1 Step 10150] Loss: 0.00083 | Reward: 4008.380 | Pred Err: 2.86e-02 | Track Err: 0.05507
[Stage 1 Step 10200] Loss: 0.00082 | Reward: 4008.380 | Pred Err: 4.01e-02 | Track Err: 0.04827
[Stage 1 Step 10250] Loss: 0.00101 | Reward: 4008.380 | Pred Err: 2.83e-02 | Track Err: 0.05894
[Stage 1 Step 10300] Loss: 0.00066 | Reward: 4008.380 | Pred Err: 4.71e-02 | Track Err: 0.07495
[Stage 1 Step 10350] Loss: 0.00069 | Reward: 4008.380 | Pred Err: 3.96e-02 | Track Err: 0.07970
[Stage 1 Step 10400] Loss: 0.00091 | Reward: 4008.380 | Pred Err: 3.44e-02 | Track Err: 0.08077
[Stage 1 Step 10450] Loss: 0.00160 | Reward: 4008.380 | Pred Err: 6.87e-02 | Track Err: 0.08723
[Stage 1 Step 10500] Loss: 0.00088 | Reward: 4008.380 | Pred Err: 4.61e-02 | Track Err: 0.10124
[Stage 1 Step 10550] Loss: 0.00202 | Reward: 4008.380 | Pred Err: 2.22e-01 | Track Err: 0.10966
[Stage 1 Step 10600] Loss: 0.00221 | Reward: 4008.380 | Pred Err: 1.28e-01 | Track Err: 0.10758
[Stage 1 Step 10650] Loss: 0.00133 | Reward: 4008.380 | Pred Err: 7.31e-02 | Track Err: 0.09831
[Stage 1 Step 10700] Loss: 0.00130 | Reward: 4008.380 | Pred Err: 3.11e-02 | Track Err: 0.10208
[Stage 1 Step 10750] Loss: 0.00118 | Reward: 4008.380 | Pred Err: 5.76e-02 | Track Err: 0.10677
[Stage 1 Step 10800] Loss: 0.00092 | Reward: 4008.380 | Pred Err: 5.40e-02 | Track Err: 0.09299
[Stage 1 Step 10850] Loss: 0.00068 | Reward: 4008.380 | Pred Err: 3.19e-02 | Track Err: 0.07252
[Stage 1 Step 10900] Loss: 0.00119 | Reward: 4008.380 | Pred Err: 4.06e-02 | Track Err: 0.06537
[Stage 1 Step 10950] Loss: 0.00113 | Reward: 4008.380 | Pred Err: 2.41e-02 | Track Err: 0.06718
 
 >>> EPISODE FINISHED at Step 10999 | TOTAL REWARD: 4028.7655 <<<

[Stage 1 Step 11000] Loss: 0.00080 | Reward: 4028.766 | Pred Err: 6.95e-02 | Track Err: 0.00000
